ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,2.19,22.99,3.74,20.18,14.14,48.42,80.7
25770,16.96,50.0,22.22,49.5,44.8,29.54,56.86
18164,10.42,41.73,12.12,39.0,30.02,29.29,65.38
20604,21.4,55.38,32.05,54.43,51.05,19.56,48.15
11567,1.46,29.47,8.82,28.99,22.45,35.0,74.67
13645,1.71,36.36,7.62,35.51,24.01,30.38,66.07
11657,3.83,32.99,12.5,36.92,31.65,30.03,66.2
6956,3.87,38.96,8.79,34.41,25.61,29.65,68.0
20093,12.36,49.67,24.73,44.68,39.87,23.52,62.38
19063,1.35,30.48,6.3,29.46,19.34,27.35,72.86
14259,3.39,29.27,10.53,32.99,26.54,33.85,70.59
15726,9.43,34.21,14.43,33.67,26.06,27.78,69.16
16225,8.25,41.51,16.39,38.71,32.36,27.18,66.18
15181,21.83,52.17,28.57,54.93,49.44,19.95,48.68
13389,10.68,45.65,20.75,46.3,36.94,20.8,58.33
6292,7.48,38.64,12.5,38.78,30.57,32.17,66.04
14261,6.31,34.48,10.88,33.56,26.52,33.07,68.75
12813,11.44,38.2,17.14,33.64,31.31,33.81,70.37
21399,1.26,28.89,3.96,25.24,16.21,33.58,77.19
21314,12.49,37.04,17.65,34.78,31.51,27.08,68.06
18702,8.64,42.74,17.32,41.86,35.52,21.96,62.32
22448,1.44,30.59,4.26,27.08,17.98,31.95,74.51
19701,10.53,46.51,13.73,40.38,28.53,20.42,63.16
4918,5.57,28.17,7.14,22.35,18.13,36.85,80.65
23775,13.33,35.0,16.67,34.88,30.53,38.1,69.57
2700,5.76,36.19,10.08,33.06,22.38,33.23,70.59
11581,10.98,47.92,19.51,40.0,33.97,30.72,63.77
11618,12.55,44.71,20.0,41.18,35.96,32.24,61.82
15065,13.54,28.95,17.58,38.71,35.7,26.05,65.22
19824,5.09,42.7,16.82,38.53,33.09,26.22,65.0
5795,14.88,43.84,20.22,41.76,35.52,29.69,63.27
5369,3.34,32.61,11.43,28.04,22.49,31.05,75.41
22432,12.8,40.68,18.44,41.96,34.86,31.81,61.84
20861,11.84,37.04,17.02,35.42,31.73,21.91,68.0
13724,1.86,36.78,12.0,33.33,27.12,28.41,69.09
10720,16.0,45.83,23.08,43.4,38.89,31.8,59.26
20293,3.5,32.18,10.91,39.29,29.38,39.86,63.79
5210,3.04,29.63,7.69,28.3,21.06,36.36,75.47
12621,17.2,41.86,22.68,42.42,42.01,28.21,67.35
15064,9.68,36.13,13.98,30.85,26.5,36.38,71.0
11882,26.4,60.78,37.84,58.41,53.23,19.47,45.9
24172,45.42,67.44,40.0,73.47,72.72,17.76,28.77
4827,14.8,43.01,20.37,41.82,37.75,29.82,61.4
18246,5.71,28.78,10.75,27.66,23.41,28.28,74.51
14049,3.03,32.99,7.62,29.91,23.78,33.68,77.36
13814,2.89,28.57,6.32,28.87,21.0,35.14,72.55
11010,20.32,50.57,26.79,56.14,52.39,21.76,48.33
7390,2.93,29.21,12.12,25.74,20.62,20.83,77.19
6846,11.72,48.95,18.85,43.52,38.91,25.65,59.8
17771,3.6,37.89,11.32,42.59,33.5,26.04,61.82
7001,1.41,24.1,4.21,26.8,17.66,36.36,78.85
23211,12.83,38.46,18.18,41.58,38.16,23.91,63.46
17534,15.27,41.46,17.65,44.23,38.07,22.43,59.26
11748,24.74,55.47,31.64,54.75,50.73,20.35,50.0
6080,28.17,60.27,37.78,63.04,60.81,15.32,39.13
22321,1.48,24.24,5.0,19.51,14.54,46.46,81.82
12126,2.16,22.68,3.57,19.3,14.55,43.27,84.75
11055,9.51,36.0,14.68,34.23,26.07,20.57,67.8
26456,2.84,31.11,8.86,28.75,22.77,30.67,72.94
21112,5.02,50.0,18.69,49.54,43.59,29.27,53.57
