ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.22,23.91,3.48,20.51,15.82,49.12,85.96
25770,8.07,33.71,14.95,33.03,30.84,34.18,84.31
18164,41.22,65.25,45.19,73.33,70.43,16.38,30.77
20604,42.54,70.77,46.91,69.51,68.18,15.65,33.33
11567,29.81,57.14,33.77,56.41,56.21,26.25,49.33
13645,15.89,46.0,22.43,47.71,43.03,23.89,55.36
11657,24.88,54.0,30.56,58.9,57.19,23.91,46.48
6956,47.04,64.1,49.5,67.96,67.8,16.37,36.0
20093,23.27,61.04,35.23,59.49,52.14,23.52,44.55
19063,14.14,43.64,25.9,52.48,45.58,32.06,52.86
14259,24.47,50.0,35.29,53.85,52.54,25.38,49.02
15726,31.06,59.35,37.32,62.56,59.49,17.43,39.25
16225,35.36,63.55,43.94,67.16,64.25,18.79,33.82
15181,19.68,52.1,25.85,53.69,47.82,25.0,48.68
13389,43.99,66.67,50.42,71.07,70.03,15.69,31.67
6292,9.77,34.41,16.67,43.64,39.46,39.15,66.04
14261,32.35,57.89,41.77,62.5,60.79,22.75,38.75
12813,44.14,63.53,50.47,67.89,66.91,15.66,35.19
21399,31.79,57.45,37.17,57.39,55.59,23.72,47.37
21314,21.03,55.05,27.78,53.42,47.72,24.22,48.61
18702,24.15,57.14,31.11,58.39,53.85,18.1,43.48
22448,15.78,52.87,27.18,53.33,50.39,23.65,52.94
19701,16.39,52.87,27.83,56.41,52.1,19.72,47.37
4918,22.72,52.05,29.67,52.17,45.41,25.9,50.54
23775,33.12,58.54,37.78,60.87,59.02,30.95,41.3
2700,24.32,55.36,32.84,54.41,51.28,24.0,48.53
11581,4.08,31.25,12.21,34.59,28.81,38.87,66.67
11618,36.72,64.37,39.62,59.26,56.85,31.02,41.82
15065,15.93,47.37,26.37,49.46,47.16,23.75,54.35
19824,22.08,52.87,28.07,53.45,46.03,33.22,50.0
5795,7.3,53.33,25.81,50.53,45.37,33.59,53.06
5369,12.15,51.02,18.8,52.1,43.13,27.08,49.18
22432,34.19,60.5,38.93,60.93,57.29,28.37,40.79
20861,29.23,48.19,37.25,51.92,52.87,27.49,54.0
13724,35.28,60.67,40.37,64.86,63.8,21.21,36.36
10720,21.85,60.22,30.77,56.6,52.93,27.56,46.3
20293,51.61,75.56,56.41,75.63,78.35,13.52,27.59
5210,29.57,64.94,38.46,60.38,58.35,23.08,41.51
