ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,2.58,24.44,5.5,23.42,18.7,47.72,78.95
25770,6.26,46.51,20.62,46.46,41.27,30.38,56.86
18164,17.55,48.92,25.13,50.78,44.94,22.54,55.77
20604,36.24,67.19,43.87,66.24,62.47,15.89,35.8
11567,19.91,48.98,25.35,48.61,44.8,27.19,54.67
13645,3.8,45.54,15.09,42.59,33.01,24.23,58.93
11657,11.23,42.11,14.29,43.75,36.48,25.36,60.56
6956,3.03,38.96,6.59,34.41,23.75,26.11,68.0
20093,13.94,49.03,21.62,44.92,38.44,22.78,59.41
19063,3.13,33.64,13.95,36.64,29.59,30.29,67.14
14259,4.57,37.5,14.89,39.58,31.66,25.38,62.75
15726,21.31,54.55,27.14,53.73,48.55,16.48,50.47
16225,8.89,48.6,19.67,43.55,36.21,23.15,60.29
15181,20.94,50.85,28.17,52.78,48.65,23.67,51.32
13389,19.83,49.46,31.48,50.91,45.59,17.88,53.33
6292,1.61,31.82,6.19,32.32,22.39,32.56,71.7
14261,4.46,38.6,19.18,37.84,32.22,23.54,65.0
12813,23.68,45.24,25.49,44.23,41.15,22.42,59.26
21399,4.47,41.76,13.73,36.54,29.65,27.01,66.67
21314,11.56,51.43,19.55,41.48,37.36,26.82,61.11
18702,14.87,50.42,22.05,48.06,41.77,19.88,55.07
22448,11.87,46.51,23.4,45.83,40.92,24.07,56.86
19701,9.98,46.51,19.05,42.99,35.05,19.37,59.65
4918,20.82,51.03,27.47,51.09,44.06,25.1,51.61
23775,5.14,43.59,19.51,42.86,36.41,29.05,60.87
2700,3.43,42.99,9.84,38.71,28.35,26.15,64.71
11581,6.1,33.33,12.9,28.57,24.49,40.44,73.91
11618,10.56,44.71,20.0,41.18,35.96,36.73,61.82
15065,15.06,38.96,21.98,47.31,43.85,21.07,56.52
19824,28.0,57.47,33.33,56.9,49.21,25.17,46.67
5795,3.45,42.67,8.7,38.3,26.32,33.2,65.31
5369,8.28,44.21,14.16,43.48,32.36,25.99,59.02
22432,7.34,34.19,13.04,35.71,27.98,35.82,67.11
20861,9.09,35.0,17.39,34.04,29.51,29.48,70.0
13724,8.18,39.08,14.0,35.29,29.42,23.48,67.27
10720,11.21,51.06,23.3,47.62,41.53,32.16,55.56
20293,26.61,60.47,33.33,60.0,56.15,16.01,44.83
5210,1.97,40.0,9.62,37.74,30.86,26.92,66.04
12621,27.39,57.14,35.79,57.73,55.52,25.21,51.02
15064,10.37,49.06,20.43,44.68,38.03,24.19,59.0
11882,34.83,60.19,41.38,62.71,57.54,20.61,40.98
24172,38.49,60.47,34.53,63.83,62.11,15.79,41.1
4827,10.84,42.55,22.43,40.37,37.11,27.64,63.16
18246,18.06,51.06,27.37,51.04,44.54,23.43,52.94
14049,11.03,51.55,19.61,48.08,43.5,25.69,52.83
13814,5.56,46.91,22.47,46.15,39.06,23.55,58.82
11010,53.09,74.16,60.18,78.26,75.22,12.6,25.0
7390,13.02,43.18,22.45,38.0,32.9,18.91,66.67
6846,24.51,58.9,34.2,57.44,53.71,18.89,46.08
17771,22.12,57.45,32.38,59.81,55.49,17.71,43.64
7001,39.51,64.2,49.02,69.23,68.24,22.13,34.62
23211,16.51,45.57,22.22,52.73,47.25,30.0,55.77
17534,25.11,61.73,37.62,62.14,57.81,15.97,40.74
11748,25.55,62.32,36.57,61.02,56.34,16.88,42.22
6080,21.56,55.56,35.71,55.81,51.47,14.11,47.83
22321,1.95,37.5,10.0,29.27,23.55,38.5,72.73
12126,24.26,56.25,31.58,51.72,47.83,22.12,49.15
11055,5.15,46.46,18.18,44.64,39.33,22.57,57.63
26456,4.91,49.62,20.65,45.86,39.56,21.33,57.65
21112,25.43,55.32,33.33,54.55,53.51,22.3,50.0
8217,8.35,53.76,17.32,46.51,36.73,16.23,58.9
23497,42.85,66.67,49.02,69.23,66.21,18.64,35.19
16577,24.02,60.27,33.13,56.97,51.2,19.29,47.19
25506,20.42,59.83,32.5,53.09,46.54,11.55,52.75
5319,16.99,48.19,25.24,49.52,45.05,26.56,51.85
19098,5.41,44.9,20.37,43.64,37.45,30.37,60.0
19963,19.34,52.94,28.57,49.59,42.02,26.56,54.55
24048,21.87,57.14,31.5,51.16,47.08,17.08,53.52
17168,17.2,55.93,28.21,50.63,47.31,19.12,52.38
16942,51.68,74.85,59.49,77.16,76.65,12.68,24.49
4839,22.96,61.7,32.0,56.69,50.9,18.46,46.27
11254,12.6,59.09,26.26,57.43,51.24,17.5,43.14
7424,46.0,70.15,54.95,72.83,71.61,13.57,30.11
18838,31.68,57.85,38.46,59.49,55.29,14.16,44.05
14748,26.38,53.93,34.0,54.9,52.42,24.19,50.0
13954,12.05,52.87,22.86,46.73,43.19,33.45,55.36
3174,10.35,45.87,20.69,47.46,40.82,16.39,57.14
21972,16.71,51.97,25.88,50.0,45.32,15.96,53.33
17546,26.87,58.72,34.38,58.46,56.13,22.36,46.27
13269,30.5,56.1,34.34,59.41,55.94,20.49,41.18
11643,27.2,54.55,33.96,51.85,49.21,18.15,50.0
15636,25.91,57.36,33.15,59.02,52.73,17.35,44.9
4968,24.6,54.72,33.61,51.24,48.61,20.4,52.31
20602,56.86,77.7,50.0,76.99,76.87,12.93,24.78
6585,17.19,57.69,26.45,53.66,46.65,14.04,50.75
24028,17.45,52.38,27.27,51.11,48.32,28.82,48.89
21456,10.93,47.89,22.68,46.46,39.64,18.75,58.18
17474,20.4,50.0,25.6,58.27,53.89,23.69,43.08
14287,14.41,46.51,21.12,47.85,42.34,23.49,56.32
17420,17.25,45.83,27.45,42.31,37.8,24.15,62.07
26382,6.61,39.47,14.4,36.22,29.18,29.63,66.67
13788,21.3,42.22,27.72,48.54,44.74,26.45,53.7
12578,9.35,44.94,16.98,40.74,31.92,20.6,62.71
15948,23.94,60.0,33.68,56.25,49.83,20.28,47.57
1238,11.68,48.72,22.68,42.42,35.63,19.84,62.5
12727,17.77,45.36,25.0,44.26,44.11,29.51,68.42
21511,49.64,59.26,40.65,70.4,67.93,18.25,32.31
19839,9.25,44.23,19.85,43.61,37.47,23.53,61.11
17277,6.72,31.46,11.01,27.03,23.94,40.47,73.21
19037,18.54,52.78,34.15,54.76,51.17,24.66,47.73
25048,20.77,58.33,29.63,56.36,53.05,18.68,44.64
25490,40.32,58.54,46.73,60.55,57.01,23.53,43.1
7150,31.69,63.64,40.38,66.04,62.97,20.38,38.89
24801,20.2,45.0,24.76,54.21,49.9,23.73,50.0
13026,14.48,50.0,24.76,46.73,42.55,23.61,57.14
13005,9.12,44.16,14.12,39.08,31.74,22.91,65.96
23596,20.54,53.57,24.24,47.76,44.82,26.82,56.52
17290,11.17,50.0,22.99,47.19,40.52,17.52,57.14
3232,16.94,50.0,23.16,47.42,38.49,27.18,56.0
11620,23.85,55.47,32.26,56.38,50.89,18.63,46.46
13168,6.05,51.33,23.53,47.83,42.51,25.21,55.41
6198,21.99,48.78,30.0,47.06,42.13,23.83,55.56
2301,41.0,68.42,49.61,65.65,62.43,15.0,37.68
24210,9.48,47.27,22.4,45.67,38.87,19.81,57.35
2204,2.1,44.44,11.63,43.18,32.2,22.45,60.42
4392,34.69,63.49,43.42,66.23,65.46,19.47,35.53
2083,2.07,38.46,10.99,36.56,29.37,24.07,68.75
