ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,0.61,19.05,0.0,17.48,8.67,57.55,88.46
25770,1.72,30.23,6.32,30.93,23.2,44.95,77.08
18164,9.43,33.33,12.05,40.48,34.4,39.58,66.27
20604,13.25,43.7,19.12,42.03,38.06,26.95,58.57
11567,2.73,21.74,4.55,25.37,23.16,48.45,80.3
13645,1.73,33.33,7.69,32.08,24.53,34.35,72.22
11657,0.6,20.0,0.0,22.61,11.23,47.33,82.76
6956,0.72,24.0,0.0,21.43,10.32,44.09,84.09
20093,2.39,25.35,9.7,26.35,19.61,42.63,75.86
19063,1.77,32.69,10.26,31.93,27.0,43.81,72.88
14259,3.25,27.85,8.79,27.96,22.17,52.77,77.78
15726,1.21,26.21,6.56,27.03,17.74,39.55,81.72
16225,7.34,34.41,14.29,34.0,31.95,35.94,84.44
15181,3.64,36.36,10.37,37.96,30.37,42.98,66.67
13389,10.42,30.14,14.81,31.33,34.22,55.4,94.44
6292,1.74,30.59,6.74,28.57,20.46,50.0,77.27
14261,0.9,18.69,1.49,19.12,9.56,42.86,88.24
12813,1.51,28.57,3.92,26.92,21.38,46.76,85.71
21399,1.5,24.69,4.65,22.73,16.32,47.29,78.26
21314,3.01,23.08,8.89,23.36,19.92,46.5,80.28
18702,1.51,33.63,5.17,32.2,22.59,36.73,74.58
22448,1.82,32.5,6.98,29.55,22.41,27.12,73.33
19701,1.41,28.92,3.96,25.24,17.46,37.32,80.77
4918,2.74,37.41,10.13,35.0,28.34,36.54,66.67
23775,5.42,38.46,17.5,34.15,33.81,43.27,75.61
2700,2.92,30.93,7.41,29.09,23.29,42.76,75.93
11581,0.91,19.78,1.71,18.49,10.88,55.66,84.38
11618,8.18,27.78,14.81,24.1,19.77,48.68,78.57
15065,3.33,19.44,9.09,24.44,19.74,40.7,80.0
19824,3.62,30.23,8.25,28.28,16.3,45.64,78.85
5795,20.8,45.71,26.19,48.84,45.33,27.8,55.81
5369,3.52,41.86,8.79,38.71,30.39,33.83,66.67
22432,6.39,26.79,9.16,25.56,22.23,56.64,78.79
20861,1.06,12.82,2.27,11.11,8.42,51.93,100.0
13724,13.83,39.08,19.15,39.58,36.7,33.33,62.5
10720,2.46,28.28,3.88,26.67,17.86,45.21,75.93
20293,1.46,31.33,3.96,31.07,21.15,48.09,74.0
5210,2.51,24.1,5.77,18.87,14.25,63.7,88.46
12621,8.39,34.48,14.74,35.05,32.61,35.68,69.39
15064,0.93,20.27,2.35,22.09,14.18,40.33,82.56
11882,11.78,37.89,14.43,38.38,33.82,38.49,67.35
24172,2.76,28.57,8.13,30.4,28.92,35.12,89.29
4827,5.85,23.4,7.69,20.75,18.72,46.98,80.0
18246,4.23,18.05,5.81,16.09,14.82,56.01,89.53
14049,1.36,21.74,3.96,21.36,15.63,45.85,86.27
13814,1.22,19.05,2.33,18.18,11.88,49.61,88.89
11010,11.41,46.34,19.35,46.32,37.73,37.92,59.57
7390,21.09,33.73,20.69,31.46,30.47,30.51,68.89
6846,7.74,38.24,17.24,39.77,36.39,34.58,66.67
17771,15.25,38.3,21.36,43.81,40.39,36.36,56.6
7001,1.47,21.69,4.55,20.0,15.03,39.0,84.78
23211,4.06,27.85,8.42,30.93,25.71,36.89,74.0
17534,5.32,36.84,17.02,41.67,37.84,27.39,71.11
11748,19.1,50.72,25.29,53.41,50.28,26.05,50.0
6080,2.16,35.14,9.64,37.65,25.27,35.56,69.05
22321,3.6,31.58,8.22,29.33,22.96,47.26,71.79
12126,2.62,29.17,5.31,27.83,20.51,43.13,77.19
11055,2.32,26.37,3.85,22.64,16.36,38.51,80.36
26456,3.19,35.82,9.4,30.46,26.56,38.37,75.68
21112,1.31,25.81,3.74,23.85,16.27,46.41,82.14
8217,1.4,32.26,5.17,25.42,18.66,38.25,75.0
23497,1.39,22.78,2.5,21.95,14.24,41.91,82.93
16577,15.26,39.72,16.33,38.93,35.58,35.81,68.49
25506,6.29,34.19,12.59,33.1,28.59,31.58,68.92
5319,2.92,27.91,5.83,30.48,23.52,46.47,76.92
19098,15.42,35.42,18.18,33.66,30.97,40.8,73.47
19963,16.9,35.29,22.81,36.21,36.48,42.07,68.33
24048,0.94,17.48,1.72,15.25,9.77,49.85,86.67
17168,2.43,26.45,6.71,26.49,22.54,46.27,84.93
16942,8.83,33.09,10.46,30.97,27.08,38.62,76.0
4839,7.37,34.69,11.38,30.4,26.1,30.41,71.64
11254,1.14,20.93,2.06,20.2,12.53,42.7,80.39
7424,1.96,25.95,4.65,27.59,19.33,38.73,73.91
18838,1.34,15.25,2.47,12.2,8.49,58.99,88.76
14748,25.34,44.19,20.63,54.69,52.28,35.18,46.15
13954,0.98,9.88,2.25,8.79,4.51,73.47,97.73
3174,2.32,25.86,6.4,23.62,18.88,49.73,96.55
21972,6.61,39.37,8.81,33.54,27.16,43.38,74.36
17546,0.91,13.86,1.67,14.75,9.7,55.02,93.33
13269,16.54,46.34,22.68,46.46,43.53,35.27,60.0
11643,7.75,25.81,12.24,26.0,24.76,54.51,83.33
15636,4.36,42.28,13.95,43.68,31.25,32.16,59.55
4968,1.07,19.35,1.96,19.23,12.61,58.42,94.0
20602,11.39,44.27,17.3,35.29,36.78,41.81,83.53
6585,1.5,31.07,5.36,29.82,21.2,46.88,75.86
24028,4.61,25.0,10.96,26.67,24.04,61.34,86.49
21456,4.5,31.17,13.48,30.77,29.02,52.67,86.05
17474,3.84,26.97,11.76,30.77,21.8,39.85,83.33
14287,7.04,34.78,10.96,37.84,29.29,46.89,70.83
17420,1.53,27.66,4.26,29.17,19.66,42.02,75.51
26382,1.01,18.46,1.85,16.36,10.77,53.65,87.04
13788,3.84,23.81,10.31,22.22,20.82,53.7,85.71
12578,4.47,39.02,14.14,39.6,34.16,42.79,70.83
15948,8.47,40.27,13.48,38.89,34.69,42.03,68.18
1238,7.04,23.68,9.3,27.27,24.11,44.25,80.95
12727,0.52,20.22,0.0,16.67,9.3,48.53,110.64
21511,6.51,32.43,12.37,28.28,31.32,41.52,112.5
19839,0.97,20.2,1.72,18.64,11.96,46.51,89.47
17277,0.63,20.78,0.0,22.68,12.25,66.37,97.73
19037,1.32,12.12,2.63,15.38,10.93,64.59,87.18
25048,0.58,12.05,0.0,10.64,5.32,55.13,91.49
25490,3.02,24.1,6.38,25.0,16.43,49.0,77.08
7150,2.88,30.38,6.19,30.3,23.49,34.72,80.85
24801,4.25,29.63,7.62,35.51,30.36,32.56,69.09
13026,3.16,33.33,8.16,28.0,21.97,32.2,74.51
13005,0.72,13.33,0.0,15.19,7.52,39.46,95.0
23596,1.27,26.17,3.42,21.85,17.12,55.08,86.44
17290,5.59,41.67,18.42,41.03,36.2,28.0,63.41
3232,0.68,20.0,0.0,19.15,9.57,50.57,85.11
11620,9.29,38.62,16.95,37.99,34.38,39.68,67.74
13168,100.0,100.0,100.0,100.0,100.0,0.0,0.0
6198,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2301,100.0,100.0,100.0,100.0,100.0,0.0,0.0
24210,100.0,100.0,96.61,100.0,100.0,0.0,0.0
2204,100.0,100.0,97.44,100.0,100.0,0.0,0.0
4392,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2083,100.0,100.0,97.78,100.0,100.0,0.0,0.0
6546,100.0,100.0,100.0,100.0,100.0,0.0,0.0
19174,100.0,100.0,96.88,100.0,100.0,0.0,0.0
2636,100.0,100.0,94.37,100.0,100.0,0.0,0.0
18153,100.0,100.0,97.5,100.0,100.0,0.0,0.0
19472,100.0,100.0,96.2,100.0,100.0,0.0,0.0
16370,100.0,100.0,92.19,100.0,100.0,0.0,0.0
15523,100.0,100.0,100.0,100.0,100.0,0.0,0.0
17506,100.0,100.0,100.0,100.0,100.0,0.0,0.0
19753,100.0,100.0,97.65,100.0,100.0,0.0,0.0
26207,100.0,100.0,100.0,100.0,100.0,0.0,0.0
21482,100.0,100.0,98.53,100.0,100.0,0.0,0.0
21514,100.0,100.0,100.0,100.0,100.0,0.0,0.0
15271,100.0,100.0,96.61,100.0,100.0,0.0,0.0
13369,100.0,100.0,81.0,100.0,100.0,0.0,0.0
8368,100.0,100.0,100.0,100.0,100.0,0.0,0.0
22348,100.0,100.0,94.87,100.0,100.0,0.0,0.0
11058,100.0,100.0,100.0,100.0,100.0,0.0,0.0
25563,49.96,72.38,51.13,75.56,73.29,19.09,26.09
24972,74.59,87.18,80.0,89.13,87.53,4.47,12.77
25900,63.65,80.0,64.29,81.18,80.76,11.85,20.0
25309,74.97,94.12,79.49,90.0,89.88,5.86,10.0
16614,42.24,63.77,46.91,60.24,60.41,26.48,41.46
5529,36.64,67.57,46.67,65.22,64.01,27.17,36.96
4136,85.02,91.36,65.62,93.85,92.69,5.52,7.58
23951,71.43,85.07,76.13,86.62,86.83,6.53,15.38
17064,70.78,84.55,73.1,87.07,86.48,7.0,13.51
14790,92.12,97.71,89.89,96.67,95.81,1.89,4.4
14786,65.34,73.42,68.82,77.89,79.82,19.32,28.26
20071,55.79,69.64,55.94,73.1,74.15,21.1,29.58
24422,92.16,95.74,88.71,96.83,96.82,1.33,3.17
312,83.26,92.56,86.4,92.91,93.47,3.94,7.94
22363,81.81,91.23,83.44,91.5,90.96,4.62,9.09
21218,62.93,84.13,67.52,80.5,80.64,12.92,20.25
24350,71.55,90.91,75.0,86.67,86.51,5.71,13.33
16787,93.86,97.14,92.86,97.67,97.67,0.39,2.33
21162,50.39,79.01,62.65,80.0,80.23,12.03,21.43
15737,76.35,87.18,82.22,89.13,87.57,7.22,12.77
19687,51.61,71.6,54.32,72.29,70.92,15.55,30.95
24794,100.0,100.0,93.75,100.0,100.0,0.0,0.0
26176,100.0,100.0,82.0,100.0,100.0,0.0,0.0
24677,100.0,100.0,100.0,100.0,100.0,0.0,0.0
17538,100.0,100.0,100.0,100.0,100.0,0.0,0.0
25850,100.0,100.0,95.12,100.0,100.0,0.0,0.0
12221,100.0,100.0,92.16,100.0,100.0,0.0,0.0
3235,71.34,83.67,72.22,83.64,83.54,9.9,16.36
5844,96.94,99.21,90.36,98.81,98.81,0.22,1.19
15002,87.53,92.13,85.15,93.2,92.47,3.85,7.69
4733,73.54,91.43,76.6,87.5,88.91,9.09,14.89
10777,100.0,100.0,100.0,100.0,100.0,0.0,0.0
11922,100.0,100.0,97.83,100.0,100.0,0.0,0.0
24836,100.0,100.0,100.0,100.0,100.0,0.0,0.0
18782,94.28,98.67,93.33,97.83,97.79,0.39,2.17
7645,92.58,97.06,94.29,97.22,97.21,4.68,2.78
20563,33.08,64.86,47.73,68.89,68.96,24.53,34.09
781,51.3,76.36,59.5,74.8,74.9,9.37,26.23
23720,53.93,77.42,57.5,75.31,74.17,13.5,24.69
16126,82.85,92.8,83.56,90.54,90.49,5.62,10.81
18626,54.57,84.44,57.49,78.11,78.02,10.32,22.62
2496,47.0,81.32,57.41,76.36,73.87,14.24,25.0
15679,53.54,79.57,59.46,79.65,78.65,15.31,21.05
23169,75.12,88.24,77.5,87.8,87.74,10.71,14.63
12930,100.0,100.0,100.0,100.0,100.0,0.0,0.0
17149,75.7,90.24,77.55,90.0,88.48,5.28,11.76
18272,67.97,79.52,69.57,78.72,77.31,6.13,22.92
20698,71.1,88.57,68.18,88.89,88.19,5.98,11.11
5557,100.0,100.0,100.0,100.0,100.0,0.0,0.0
5636,100.0,100.0,98.94,100.0,100.0,0.0,0.0
5468,40.98,70.45,47.73,71.11,69.67,15.38,28.89
2961,70.46,88.59,74.87,86.77,86.02,7.83,13.68
