ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.38,26.67,5.45,23.21,18.17,62.86,92.31
25770,4.72,40.91,15.38,37.74,37.77,36.24,79.17
18164,6.58,29.69,8.56,31.75,26.81,39.17,92.77
20604,11.72,44.8,18.54,40.52,40.32,27.46,75.71
11567,6.65,34.41,9.66,32.65,32.13,42.24,89.39
13645,3.3,36.73,9.52,33.64,27.1,24.83,68.52
11657,4.19,45.83,18.32,37.59,36.39,38.0,86.21
6956,1.17,28.57,2.11,24.74,14.48,42.73,97.73
20093,9.09,39.46,14.53,35.36,27.79,34.95,73.56
19063,6.98,40.74,12.5,33.85,32.91,43.14,83.05
14259,3.27,34.57,10.42,32.65,29.26,34.89,82.22
15726,3.88,41.89,15.38,38.58,35.99,35.97,78.49
16225,5.13,48.42,22.02,45.05,46.12,28.52,91.11
15181,15.28,48.21,22.86,46.48,42.26,33.52,63.77
13389,9.11,37.5,16.84,37.11,42.74,50.7,119.44
6292,3.66,33.33,10.1,33.66,30.93,40.09,90.91
14261,8.01,44.04,16.44,40.54,34.8,30.9,77.94
12813,4.84,46.91,17.65,46.15,42.48,26.26,67.35
21399,3.51,47.73,13.73,40.38,39.22,27.13,82.61
21314,11.27,36.19,15.38,37.24,33.14,32.77,67.61
18702,9.36,51.28,16.0,45.67,41.49,21.6,69.49
22448,12.74,45.24,20.62,40.4,40.85,25.0,75.56
19701,8.7,44.71,12.73,42.86,35.87,25.0,73.08
4918,3.05,39.44,10.59,34.88,29.03,35.68,75.31
23775,14.56,55.7,23.53,50.57,48.71,24.04,58.54
2700,1.34,33.33,5.0,32.79,23.87,30.59,88.89
11581,1.7,36.56,9.52,32.81,25.56,40.57,75.0
11618,1.41,33.77,4.3,27.37,19.48,34.65,97.62
15065,10.77,32.43,13.33,34.78,31.08,32.17,71.11
19824,9.26,48.28,16.98,38.89,39.02,33.1,75.0
5795,5.41,45.07,18.39,47.19,41.31,29.46,60.47
5369,8.76,40.45,19.8,38.83,40.5,37.92,84.44
22432,12.04,47.79,21.58,46.81,41.88,25.66,65.15
20861,26.36,57.5,35.42,57.14,60.34,26.18,63.64
13724,3.26,43.18,9.8,38.46,30.49,24.44,75.0
10720,5.87,45.83,23.08,47.17,42.39,27.74,55.56
20293,33.11,68.24,40.37,63.06,66.3,26.72,52.0
5210,6.61,50.63,23.3,51.43,45.35,26.37,55.77
12621,11.84,48.28,24.0,45.1,43.25,29.05,63.27
15064,23.95,65.33,34.59,56.68,58.1,14.2,56.98
11882,13.1,49.48,19.05,46.73,40.75,29.37,69.39
24172,12.89,48.78,23.44,47.69,51.9,23.08,78.57
4827,3.61,41.24,15.93,38.26,34.53,27.05,70.91
