Metric,Mean,Std,Min,Max,Median
CER,5.1434624288549475,14.711978104370916,0.0,95.48022598870057,0.0
WER,8.05288698851008,22.51199276669592,0.0,112.5,0.0
BLEU,89.3741494826083,27.67275397177687,0.3783130229427503,100.0,100.0
BLEU-1,92.51858697927386,20.72346216441108,3.6912179712571316,100.0,100.0
BLEU-2,90.99031232163952,24.374149104125802,0.8689850326370959,100.0,100.0
BLEU-3,90.05749363794149,26.375963431498352,0.5239130814333056,100.0,100.0
BLEU-4,89.3741494826083,27.67275397177687,0.3783130229427503,100.0,100.0
METEOR,92.10179790518063,22.084638197450392,1.9880715705765408,99.99998547757433,99.9996
ROUGE-1,2.919212491513917,16.840189261983046,0.0,100.0,0.0
ROUGE-2,0.814663951120163,8.992086015458979,0.0,100.0,0.0
ROUGE-L,2.919212491513917,16.840189261983046,0.0,100.0,0.0
TER,8.05288698851008,22.51199276669592,0.0,112.5,0.0
chrF,93.60588463253073,17.473747048221345,13.755364860045349,100.0,100.0
Jaccard,90.8791152763464,24.03417600576353,1.1235955056179776,100.0,100.0
Cosine_Sim,92.94347178832784,19.924536950917563,3.064257065179478,100.00000000000003,100.0
Levenshtein_Sim,91.27653516732597,24.108498585546208,1.809954751131222,100.0,100.0
Precision,92.71391946761094,20.415902414592612,2.857142857142857,100.0,100.0
Recall,92.62412322276379,20.47901981606584,1.8181818181818181,100.0,100.0
F1-Score,92.66365569634951,20.45294920423631,2.2222222222222223,100.0,100.0
Length_Ratio,100.05175797030283,3.0180121608539174,61.97183098591549,147.5,100.0
