ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.48,25.29,5.77,20.75,16.34,61.63,86.54
25770,11.72,44.71,21.28,43.75,42.11,33.03,60.42
18164,13.91,34.38,16.37,38.15,35.84,36.46,73.49
20604,18.41,47.54,25.71,49.3,47.0,24.69,55.71
11567,13.09,40.86,16.54,38.52,40.07,37.27,68.18
13645,7.59,42.86,11.43,39.25,31.86,24.15,62.96
11657,17.72,58.7,31.58,53.45,50.99,35.33,53.45
6956,3.37,33.77,6.98,31.82,24.1,34.55,75.0
20093,14.65,49.32,21.43,44.71,39.02,31.92,59.77
19063,3.85,38.46,10.34,33.9,28.08,41.81,69.49
14259,9.96,44.16,18.18,48.89,42.59,28.94,51.11
15726,4.71,43.54,18.38,41.71,38.32,35.22,69.89
16225,10.69,48.42,24.24,47.52,45.71,30.08,71.11
15181,21.92,56.36,31.58,56.3,51.86,29.51,49.28
13389,15.18,39.47,24.1,42.35,46.14,47.42,86.11
6292,21.82,48.19,27.91,50.0,46.88,32.33,54.55
14261,15.67,50.47,22.73,52.24,45.21,27.41,54.41
12813,4.13,43.59,14.74,43.3,36.58,23.74,61.22
21399,26.48,56.47,30.77,55.91,54.26,24.03,50.0
21314,19.86,45.1,25.56,50.37,44.14,29.13,54.93
18702,34.23,64.35,40.0,63.25,61.12,18.21,38.98
22448,25.34,53.01,29.21,50.55,48.9,20.34,55.56
19701,4.39,42.86,12.0,39.22,30.47,25.36,67.31
4918,3.15,42.34,15.69,42.58,34.14,31.41,59.26
23775,22.34,64.0,36.36,60.76,56.84,23.56,41.46
2700,10.51,45.83,18.69,45.87,41.22,29.28,61.11
11581,1.57,36.56,8.4,31.4,24.01,39.62,71.88
11618,2.14,44.44,9.52,37.21,29.03,32.46,69.05
15065,19.23,35.14,20.22,37.36,33.86,29.07,68.89
19824,11.36,58.14,26.8,52.53,49.3,28.22,55.77
5795,4.35,45.07,16.09,44.94,39.85,27.39,62.79
5369,21.98,54.76,35.56,56.52,55.89,24.16,46.67
22432,26.73,55.56,36.51,57.81,54.12,21.24,43.94
20861,38.91,64.94,41.86,65.91,64.11,21.03,38.64
13724,27.34,59.77,38.3,60.42,58.28,20.0,41.67
10720,12.44,48.42,27.18,49.52,45.39,29.11,51.85
20293,27.53,56.79,34.34,57.43,56.3,24.05,46.0
5210,31.25,63.41,37.62,66.02,59.79,26.37,42.31
12621,11.18,46.51,19.15,43.75,40.43,25.31,61.22
15064,32.47,68.92,42.35,66.28,64.37,12.76,37.21
11882,17.04,54.95,23.66,54.74,44.53,27.78,48.98
24172,28.23,56.1,34.43,58.06,60.66,20.07,57.14
4827,15.34,52.63,26.67,50.47,46.61,24.2,50.91
18246,18.36,50.75,25.73,50.87,48.33,35.6,53.49
14049,9.46,42.55,16.0,39.22,33.83,34.66,64.71
13814,12.31,48.1,24.39,50.0,43.9,20.16,53.33
11010,29.38,64.2,43.48,61.7,60.78,18.33,40.43
7390,35.78,59.52,41.86,56.82,54.89,19.32,46.67
6846,10.83,48.53,18.39,46.59,41.03,27.08,57.47
17771,10.06,40.43,19.42,45.71,40.87,36.73,56.6
7001,19.66,54.32,29.89,56.18,51.68,23.65,47.83
23211,26.58,60.76,37.11,58.59,56.92,25.78,48.0
17534,20.03,46.75,25.53,47.92,45.88,19.92,62.22
11748,9.57,55.88,21.97,53.71,47.82,23.18,50.0
6080,40.36,70.42,53.16,71.6,68.81,12.13,30.95
22321,47.72,75.86,53.33,75.32,74.03,6.75,25.64
12126,44.64,66.67,50.0,70.18,69.23,12.46,35.09
11055,11.53,50.53,22.43,47.71,43.03,27.16,55.36
26456,25.64,64.18,39.73,66.22,63.61,13.19,36.49
21112,10.46,49.46,20.56,44.04,39.66,31.37,60.71
8217,41.38,70.21,50.88,67.24,64.48,20.35,35.0
23497,7.04,53.85,22.78,54.32,48.24,14.71,46.34
16577,31.55,60.87,35.86,59.86,59.24,22.25,47.95
25506,43.12,71.79,48.95,70.34,68.32,9.84,31.08
5319,11.03,40.0,17.65,46.15,40.52,41.91,57.69
19098,25.02,57.45,36.73,58.0,57.33,29.2,46.94
19963,34.4,59.05,40.35,58.62,56.85,27.59,45.0
24048,28.97,62.26,37.61,60.5,58.33,17.82,43.33
17168,49.71,75.63,56.94,76.71,76.64,15.42,28.77
16942,19.62,52.78,29.68,52.23,50.52,29.02,56.0
4839,34.41,67.35,41.6,64.57,60.61,14.42,38.81
11254,45.04,69.66,54.0,72.55,71.6,13.87,27.45
7424,43.03,69.63,49.71,69.71,65.59,11.74,33.7
18838,31.57,62.18,38.51,60.12,55.35,17.11,44.94
14748,12.12,48.84,19.47,41.74,34.79,28.34,63.08
13954,4.4,33.73,15.05,33.68,32.61,41.63,81.82
3174,17.8,53.21,25.56,45.93,48.67,30.75,82.76
21972,18.84,48.06,23.9,45.96,42.31,29.9,62.82
17546,3.78,35.64,10.17,33.33,27.62,37.54,75.0
13269,10.68,46.34,18.37,48.0,42.14,26.91,58.0
11643,8.97,40.86,14.29,38.0,35.65,34.21,75.0
15636,18.52,54.84,24.56,55.49,48.26,23.14,47.19
4968,31.79,52.63,38.46,56.6,58.19,30.58,56.0
20602,9.72,52.63,19.15,45.26,44.8,37.39,76.47
6585,12.97,44.66,17.86,40.35,35.37,35.01,67.24
24028,5.85,49.35,17.5,46.34,45.64,48.97,72.97
21456,4.21,40.54,16.28,31.82,33.74,41.98,81.4
17474,3.9,45.98,14.0,43.14,39.43,31.73,66.67
14287,25.99,62.18,28.57,59.06,58.36,20.98,50.0
17420,26.86,54.17,29.17,55.1,52.03,26.46,48.98
26382,21.09,65.67,30.91,62.5,58.34,26.28,50.0
13788,20.06,57.83,29.17,57.14,53.57,19.63,46.94
12578,42.86,67.5,46.81,64.58,63.5,21.17,39.58
15948,31.12,63.58,38.86,59.89,60.43,21.12,45.45
1238,28.72,61.33,33.73,56.47,54.95,19.91,50.0
12727,4.38,46.15,14.81,38.18,39.43,27.21,89.36
21511,16.2,53.33,22.45,48.0,52.6,25.89,90.0
19839,29.18,58.95,36.04,58.41,56.22,16.28,42.11
17277,3.3,36.36,10.42,36.73,32.47,48.23,84.09
19037,20.53,44.12,25.64,45.0,43.9,33.01,61.54
25048,15.78,58.43,28.28,55.45,55.03,25.21,55.32
25490,5.96,41.98,16.49,42.42,39.42,30.52,66.67
7150,3.28,35.44,8.42,32.99,26.69,23.4,74.47
24801,7.65,37.97,11.43,37.38,31.54,35.55,65.45
13026,28.38,50.0,34.0,50.98,49.92,23.39,50.98
13005,1.74,26.67,5.19,25.32,18.65,37.22,87.5
23596,2.72,36.36,6.61,32.52,25.93,47.38,84.75
17290,32.45,60.27,41.03,60.0,57.73,17.78,43.9
3232,21.68,57.14,28.26,55.32,51.86,20.31,44.68
11620,6.78,42.47,14.53,39.78,33.71,32.79,66.67
13168,3.0,30.91,9.45,34.11,27.38,28.37,66.15
6198,10.33,39.51,18.75,38.78,34.81,37.04,62.75
2301,6.35,34.86,8.7,32.48,25.46,38.41,71.67
24210,11.2,39.62,13.68,38.66,33.07,38.93,63.33
2204,24.93,56.34,28.21,55.0,51.56,24.89,47.5
4392,8.38,35.2,10.69,34.59,28.25,32.28,66.18
2083,0.6,10.39,0.0,10.99,5.45,49.03,89.13
6546,19.37,40.86,24.0,43.14,39.64,24.65,60.78
19174,2.56,25.42,7.25,30.0,26.02,39.47,83.08
2636,14.59,36.84,18.18,35.86,32.6,43.6,68.06
18153,3.56,30.51,10.46,30.97,26.24,34.43,71.6
19472,3.02,39.68,13.58,37.8,34.18,40.83,67.5
16370,2.04,29.09,5.44,26.85,22.24,38.79,98.46
15523,0.55,10.53,0.0,9.09,4.81,54.74,107.32
17506,1.07,22.22,4.29,19.72,14.49,37.38,96.92
19753,1.34,29.93,7.1,31.58,24.04,39.15,76.74
26207,1.26,26.8,3.7,23.64,17.23,41.02,86.54
21482,1.01,15.13,5.37,14.57,13.63,49.32,104.35
21514,10.65,41.38,15.56,39.13,34.67,34.57,65.22
15271,9.32,24.74,11.67,29.51,26.49,43.22,76.67
13369,7.62,34.59,13.68,36.46,30.03,35.34,65.35
8368,14.57,30.38,16.47,32.18,29.45,43.46,69.77
22348,2.07,25.4,10.39,25.32,22.36,37.56,77.5
11058,1.57,21.62,5.0,21.95,17.47,41.07,87.18
25563,1.11,24.53,3.05,24.06,15.53,44.62,78.26
24972,19.79,50.63,28.57,51.61,48.71,23.58,48.94
25900,1.17,23.68,5.92,22.22,16.83,36.95,81.18
25309,4.3,38.24,12.82,37.5,31.94,28.83,62.5
16614,4.32,40.0,12.5,39.02,32.19,37.44,65.85
5529,1.61,25.64,4.44,28.26,19.7,45.28,73.91
4136,41.3,50.0,28.57,60.74,61.39,24.68,42.42
23951,32.95,57.35,38.71,57.32,56.55,22.07,44.87
17064,8.79,31.4,12.77,32.17,26.95,37.75,70.27
14790,10.15,45.31,15.48,35.29,29.8,26.47,69.23
14786,2.25,12.5,4.35,12.77,11.06,44.32,91.3
20071,7.33,33.33,12.16,33.33,31.99,33.33,76.06
24422,7.18,35.96,13.56,40.0,32.76,38.67,61.9
312,3.54,35.2,9.38,36.92,29.87,40.0,69.84
22363,13.67,47.79,19.87,45.75,42.17,31.03,55.84
21218,1.01,23.62,2.53,25.0,16.7,47.46,81.01
24350,10.93,35.44,13.33,36.96,32.52,34.69,66.67
16787,1.09,13.7,2.27,13.33,9.82,50.2,95.35
21162,1.29,24.1,2.35,22.99,15.02,43.57,83.33
15737,1.18,22.78,2.15,18.95,12.4,43.32,85.11
19687,1.87,26.83,7.32,26.19,21.15,42.02,76.19
24794,2.17,22.22,4.76,18.75,14.61,37.5,81.54
26176,1.13,30.0,2.13,20.83,12.61,36.02,80.39
24677,1.32,26.83,2.22,28.26,17.45,46.88,82.22
17538,1.57,23.08,4.71,22.99,17.26,46.7,79.07
25850,11.81,28.99,14.46,28.24,26.72,48.48,73.81
12221,11.16,35.29,16.67,32.65,29.18,31.67,69.23
3235,2.68,22.92,5.61,25.69,19.32,42.49,76.36
5844,23.7,40.62,19.1,42.22,42.6,26.39,69.05
15002,17.12,60.0,29.41,59.62,53.78,23.08,40.38
4733,3.43,28.99,8.6,27.37,24.38,41.45,78.72
10777,2.17,25.35,5.62,21.11,19.06,38.57,98.77
11922,1.84,35.71,8.42,30.93,26.69,35.07,74.47
24836,1.57,26.32,4.65,25.0,18.49,46.82,79.07
18782,3.35,29.63,10.64,29.17,26.16,55.29,78.26
7645,3.88,24.24,11.76,22.86,20.95,42.55,77.78
20563,1.99,32.0,9.2,31.46,25.96,40.09,75.0
781,7.97,33.64,13.56,35.0,30.44,33.23,65.57
23720,8.56,40.0,15.38,40.51,36.39,32.74,61.73
16126,13.59,40.0,16.55,38.1,33.65,34.47,63.51
18626,11.01,42.34,15.57,40.24,36.31,30.32,60.71
2496,2.45,27.27,3.77,29.63,19.14,47.22,71.43
15679,1.1,29.17,1.82,25.0,14.78,40.48,78.95
23169,3.55,33.33,9.64,30.59,26.25,52.68,78.05
12930,6.52,20.0,10.2,20.0,17.84,38.4,82.0
17149,1.84,30.23,6.06,33.66,25.93,39.62,68.63
18272,1.73,31.33,6.45,29.47,22.14,36.78,72.92
20698,1.38,30.56,2.41,25.88,17.72,36.65,80.0
5557,2.69,24.78,7.94,26.56,20.37,33.94,75.38
5636,6.63,25.77,8.65,24.6,20.92,42.22,80.0
5468,1.29,26.97,2.22,26.09,16.32,33.2,77.78
2961,1.7,23.23,5.74,22.75,17.56,45.38,96.84
25344,1.61,31.17,4.55,28.89,19.79,37.39,73.91
11560,0.36,2.56,0.0,2.13,1.0,77.39,98.04
11283,11.42,36.11,14.81,33.73,29.73,35.02,67.44
1598,1.94,33.77,8.42,37.11,28.62,33.99,64.58
11733,1.04,23.08,4.52,20.11,15.31,40.61,85.56
12619,12.02,39.53,16.49,36.36,33.52,28.57,67.35
11485,2.77,25.49,7.27,23.21,19.36,40.33,80.36
19096,1.72,30.38,4.94,28.92,22.49,49.25,77.5
4028,10.65,39.02,15.73,37.36,34.0,42.63,68.89
20399,3.03,28.87,7.84,30.77,25.05,36.69,78.0
15682,2.54,22.22,6.84,23.53,19.91,45.94,85.96
26089,8.61,30.65,10.96,33.78,26.66,41.18,69.86
3047,0.66,14.12,1.55,10.69,8.77,58.99,140.38
24311,5.45,31.58,8.92,28.93,24.95,44.17,75.95
21942,10.66,38.64,13.73,38.46,33.18,36.73,65.38
16096,2.05,30.23,12.63,30.93,27.36,40.41,71.43
13932,1.32,21.62,2.38,23.26,15.06,44.26,80.95
24891,1.92,28.17,7.59,27.16,21.72,37.83,73.17
17134,0.38,15.95,0.0,17.49,8.94,49.9,88.76
15355,1.52,20.59,5.13,20.0,16.79,52.85,94.59
23748,1.24,21.62,2.2,21.51,13.79,35.11,82.61
2113,2.83,23.53,6.38,20.83,17.26,36.92,81.25
6803,1.44,17.14,4.65,15.91,13.01,55.46,86.36
7819,2.66,29.75,7.3,31.65,24.21,40.2,70.0
5832,1.11,14.81,3.28,16.13,12.0,54.47,87.1
24853,1.3,26.51,2.25,24.18,14.96,45.45,78.26
8082,8.5,33.04,12.03,35.56,29.42,44.38,67.14
24093,11.99,41.98,21.69,40.0,38.28,33.33,61.9
20960,1.88,18.42,4.44,21.98,16.35,40.93,82.42
14825,1.05,25.24,1.64,25.81,15.17,39.94,75.81
17987,1.26,17.07,2.27,20.0,12.98,39.13,82.22
1577,2.46,20.62,7.14,17.54,15.22,40.25,83.05
16821,12.44,37.25,15.15,38.81,33.88,35.66,61.76
18244,2.69,27.35,8.13,24.0,19.82,44.59,79.69
26311,12.48,29.79,12.28,32.76,29.87,36.22,76.36
7267,10.03,42.7,15.09,42.59,37.86,25.75,59.26
11833,2.07,31.71,7.0,27.72,21.53,47.88,72.82
25908,3.79,27.85,8.6,25.26,21.7,41.44,78.72
16444,8.1,29.41,12.41,29.93,26.7,42.02,74.32
20409,7.45,35.71,10.53,35.05,29.62,41.32,70.21
4593,1.98,26.09,8.33,24.32,19.01,24.89,80.56
4309,1.14,8.45,2.7,7.89,6.73,57.65,92.11
7324,18.99,44.66,23.14,47.15,44.21,24.58,54.84
23788,1.61,23.38,4.88,21.43,16.39,55.08,85.71
13493,2.17,35.59,6.9,28.41,20.39,38.78,73.91
16360,11.26,35.71,15.73,32.97,30.74,43.18,71.11
24946,0.63,20.69,0.0,19.61,9.96,35.74,86.0
26292,3.32,29.27,7.14,27.91,22.02,36.52,74.42
18851,11.74,32.76,14.97,28.19,26.52,36.45,73.33
13784,2.42,17.82,5.61,18.35,15.54,49.32,86.79
25546,1.0,19.23,1.77,17.39,10.98,47.68,82.76
17133,1.21,16.09,3.92,13.46,11.01,54.32,90.38
20872,1.39,15.19,4.94,14.46,12.94,52.17,97.44
15466,2.69,31.93,7.04,31.94,24.52,35.22,74.32
6718,10.68,31.68,18.31,30.56,30.48,37.1,80.88
19156,8.88,30.61,9.43,31.48,26.34,34.75,71.7
5485,1.35,26.42,4.96,26.02,19.42,36.02,78.33
7759,3.33,26.67,7.5,24.39,20.21,39.11,78.05
4302,13.35,43.37,18.69,47.71,41.84,19.23,54.55
7141,0.75,18.92,0.0,17.72,8.77,48.07,82.5
20081,20.16,31.48,21.71,35.11,35.02,34.19,70.31
17662,22.3,56.95,32.29,52.58,51.22,25.86,48.45
12736,1.12,17.5,2.08,16.33,10.86,45.99,87.76
23007,3.4,28.17,7.59,29.63,22.71,42.44,73.81
14999,1.07,20.0,3.03,19.4,13.37,42.49,83.82
11815,2.05,25.81,5.04,21.49,18.98,46.91,111.76
4614,0.65,13.56,0.0,7.69,5.24,52.36,97.37
20392,1.16,17.31,3.54,17.39,13.21,56.83,91.07
23095,1.17,25.76,6.45,21.66,17.62,47.73,80.95
24746,1.34,13.79,4.49,13.19,12.92,57.74,97.73
20587,0.98,18.75,1.8,17.7,10.86,50.62,84.75
14947,1.32,27.5,2.41,25.88,15.43,38.7,77.78
6159,8.63,23.26,10.31,24.24,22.76,43.98,87.23
7969,1.46,35.96,5.04,29.75,22.46,38.17,72.58
8206,23.21,51.28,27.37,43.3,41.25,29.71,57.14
2364,0.44,14.41,0.0,12.86,6.58,43.29,92.65
3463,13.74,53.85,26.19,55.81,49.0,23.81,44.19
2690,0.85,12.07,1.55,15.27,10.01,53.16,95.24
2101,7.96,28.95,10.53,28.21,24.08,32.17,72.5
24136,14.88,45.24,22.47,46.15,41.74,30.31,55.32
291,13.98,40.0,19.75,38.55,35.8,23.36,61.9
7821,5.93,24.19,8.57,22.54,20.47,42.09,77.78
17443,7.34,33.6,7.79,37.18,28.19,41.25,67.53
11457,6.68,31.79,9.68,28.72,24.47,36.27,74.47
10729,2.13,31.58,11.49,35.96,30.95,40.18,69.77
24167,8.19,39.25,10.91,39.29,31.73,32.2,60.71
15062,2.67,20.22,5.88,21.15,17.09,42.6,80.77
25870,4.0,33.93,12.07,33.9,29.24,33.85,71.19
19893,2.94,25.32,4.94,24.1,18.1,44.64,82.93
5025,1.06,16.9,2.22,13.04,8.96,47.21,87.5
13232,4.15,25.35,9.76,23.81,21.24,49.78,80.95
20099,6.06,33.6,9.27,35.29,29.84,37.69,77.46
13163,12.2,34.29,18.18,39.02,35.24,35.08,61.9
24503,3.47,34.48,12.39,36.52,30.08,28.9,68.42
5268,4.82,17.09,6.45,17.46,15.61,42.58,90.16
18159,3.4,28.21,9.09,26.67,22.72,48.48,75.56
23029,30.89,56.1,35.56,54.35,53.45,22.22,46.81
13053,3.4,34.38,12.5,34.57,30.28,34.72,68.75
16139,3.1,24.32,6.98,25.0,19.83,32.8,75.56
5320,2.43,26.42,6.35,25.0,19.01,39.13,86.89
13463,11.66,35.64,17.65,34.62,31.96,34.33,66.04
14788,2.53,33.33,11.32,31.06,23.38,34.93,73.96
5201,8.91,31.11,13.33,32.61,29.6,34.63,73.33
1508,5.86,28.35,9.82,24.24,20.04,38.34,78.16
18138,2.22,21.43,3.77,14.81,9.12,52.71,89.09
20539,2.56,26.42,7.3,25.9,19.29,40.35,81.16
17817,3.33,35.71,6.9,35.96,20.59,36.63,69.57
13701,8.99,40.0,12.95,35.46,32.09,39.8,73.13
12570,0.39,16.47,0.0,12.03,7.08,65.35,131.48
25429,3.36,28.57,10.42,24.49,23.44,37.04,79.59
6309,1.74,28.12,5.19,25.32,18.65,42.41,77.5
2365,1.1,19.05,2.06,16.16,10.84,36.54,85.71
25994,4.14,35.16,11.21,36.7,30.63,35.47,66.67
26027,2.05,23.44,5.3,19.61,16.08,34.29,82.28
18213,3.29,30.38,6.9,31.46,24.05,39.65,72.73
17058,13.66,34.29,18.69,34.86,33.25,32.37,66.67
8121,6.0,28.78,9.82,29.09,22.88,43.61,76.54
14055,1.95,27.91,9.35,29.36,25.9,35.89,77.78
7874,3.1,22.22,9.41,20.69,19.83,43.95,92.68
7647,9.33,39.56,13.19,38.71,33.26,35.69,65.22
22126,4.17,32.84,11.11,32.43,27.63,36.15,67.57
16209,3.04,30.56,10.99,27.96,28.36,38.18,105.13
12824,1.57,30.93,6.9,30.51,21.98,34.35,74.14
14762,11.23,46.15,21.24,46.96,41.78,23.53,53.45
23793,0.84,21.05,2.27,17.98,12.21,51.83,84.78
26321,8.89,31.07,9.35,31.19,25.52,36.17,69.09
11532,2.84,35.29,5.5,32.43,23.84,34.69,69.64
21158,1.11,19.15,2.02,19.8,12.29,50.89,82.69
21834,14.94,35.19,15.87,35.94,32.69,42.11,68.75
17983,1.15,15.91,2.13,18.75,12.37,52.48,85.11
24074,10.17,31.43,14.74,32.99,32.72,29.23,70.83
21197,2.11,22.68,5.84,18.71,15.0,36.93,86.3
15576,7.93,34.11,10.22,31.65,26.19,32.36,71.83
18688,14.4,42.86,23.14,48.78,46.03,28.75,54.1
6616,3.47,31.71,7.41,31.33,24.43,31.97,70.73
13978,7.0,27.34,7.78,30.77,27.33,33.78,70.33
25430,2.17,29.33,10.67,28.57,25.15,36.28,76.32
19676,1.01,14.0,3.33,11.48,9.51,43.14,91.67
21849,1.14,17.58,2.17,17.02,11.13,42.02,83.33
6716,1.22,17.39,3.33,16.39,13.41,49.16,85.48
4799,4.34,37.5,14.81,36.14,34.4,38.43,70.0
23675,1.21,20.37,4.55,19.4,14.99,38.65,80.6
1471,4.9,36.36,12.5,34.15,29.61,42.31,68.29
6811,2.8,29.06,6.45,28.03,21.45,39.4,75.95
17039,7.22,15.58,1.98,19.42,18.62,48.55,97.87
25172,3.98,32.1,11.88,31.07,26.26,38.69,70.37
5853,17.14,52.38,23.76,50.49,48.43,28.21,57.14
8126,2.33,26.97,3.7,23.64,16.24,42.26,76.79
7360,2.92,33.33,8.26,30.89,25.77,26.52,70.77
4124,2.69,24.24,8.55,23.53,18.62,42.73,77.42
6661,1.22,13.89,2.38,18.6,12.85,60.0,90.24
15003,3.66,31.46,7.62,31.78,24.86,42.32,69.81
16803,1.18,20.78,2.13,20.83,13.02,39.06,79.59
14117,2.96,26.51,6.52,23.4,18.9,40.96,78.72
25513,0.61,14.46,0.0,15.22,8.03,52.55,102.33
18861,1.35,22.78,2.44,21.43,13.9,42.86,83.33
13901,2.27,32.0,7.53,29.79,23.5,30.37,71.28
16788,3.47,30.77,10.64,33.33,28.88,43.49,73.91
15673,1.23,13.7,2.67,12.99,9.97,54.46,94.59
17077,1.22,24.56,4.35,22.86,16.73,44.24,80.0
23317,1.26,19.44,2.35,20.69,13.8,40.44,85.71
6288,8.88,32.26,11.51,34.04,28.51,28.39,68.06
11329,1.73,31.88,5.06,27.16,19.92,38.31,75.0
14920,8.18,32.0,12.2,28.57,25.74,33.04,71.43
20119,1.4,28.57,5.22,23.93,16.51,44.81,81.03
17312,1.22,20.25,2.33,18.18,11.88,33.77,82.22
6064,9.85,35.71,16.47,36.78,34.46,32.54,69.05
16807,10.9,29.79,11.32,29.63,25.63,39.16,74.55
20337,3.19,31.19,12.7,32.81,29.29,32.6,71.43
15931,1.3,28.57,3.42,30.25,19.24,28.12,70.49
20711,3.37,32.56,8.6,31.58,25.57,38.35,70.21
580,6.93,21.78,6.06,23.88,19.53,41.84,78.26
12195,8.29,36.92,10.81,34.21,27.38,37.02,67.5
1770,0.53,16.16,0.0,16.81,8.58,48.81,89.66
21547,2.33,27.45,4.92,20.97,16.89,40.0,80.95
12246,10.78,38.1,17.58,38.71,35.09,35.75,61.7
21736,10.62,36.73,12.84,36.04,30.07,32.4,67.27
17306,16.45,49.54,24.0,48.82,45.18,23.65,51.56
12783,4.76,38.36,10.39,35.44,28.69,30.64,65.0
21867,1.18,16.67,3.85,15.09,11.56,34.7,85.45
23012,2.6,18.35,8.7,17.09,16.14,54.8,84.48
3421,1.21,17.72,2.38,16.28,11.36,43.16,88.1
5873,21.7,49.18,23.53,47.74,45.21,27.44,56.58
24065,18.18,53.01,29.89,56.18,52.6,24.07,46.67
2921,6.01,27.5,6.19,24.24,18.98,40.7,76.0
13710,1.34,22.95,6.15,22.73,18.47,46.49,80.0
15767,5.81,37.7,9.4,33.11,27.08,35.78,69.33
15941,1.27,16.67,3.88,17.14,13.21,59.86,86.54
3854,4.86,30.56,13.51,28.95,26.05,39.83,74.36
19068,2.87,31.72,8.54,30.12,22.85,40.66,72.09
17994,2.83,30.11,6.72,33.06,24.76,37.64,70.0
5449,1.63,14.67,3.64,13.17,10.69,47.68,90.36
15574,0.63,12.35,0.0,11.49,5.8,52.14,93.02
15923,22.65,34.78,16.16,43.56,45.78,37.99,71.74
13976,6.21,26.92,7.06,23.26,17.94,50.97,81.4
10631,8.0,27.85,12.35,26.51,24.12,43.22,76.19
16667,3.61,22.22,9.26,27.27,23.58,40.28,77.78
2775,13.04,41.27,19.87,36.6,33.21,27.78,65.43
12845,4.79,41.67,18.02,44.25,35.74,28.38,57.89
22278,2.55,20.93,6.0,23.53,17.47,47.93,78.18
11850,12.23,33.55,16.95,35.75,33.98,44.12,70.45
13467,1.07,18.56,1.89,18.52,11.77,54.58,85.19
20566,4.43,31.58,12.7,32.81,31.32,44.17,85.0
2252,5.18,37.5,14.29,38.0,33.21,28.72,64.0
4940,1.34,38.76,6.21,31.9,24.05,31.98,68.29
2857,0.55,15.05,0.0,14.41,7.26,37.34,89.09
1199,9.08,37.97,16.67,34.69,33.2,33.48,74.47
4582,1.75,24.49,3.49,21.84,15.75,47.43,86.9
6990,10.9,40.0,20.95,39.25,37.99,29.29,65.38
24277,1.44,26.92,5.45,28.57,20.05,44.9,74.58
15914,3.64,32.94,10.99,32.26,27.72,43.03,69.57
25842,4.59,33.68,14.0,35.29,32.56,43.21,72.55
2491,25.18,57.89,34.38,56.92,53.7,18.37,44.78
23823,4.77,44.25,15.58,39.74,34.18,34.57,64.2
11701,1.89,32.5,7.06,32.18,24.6,35.5,69.77
4375,3.64,37.36,12.0,37.25,31.79,27.47,68.0
6345,1.82,26.83,6.82,28.89,22.31,45.29,71.11
6932,1.47,31.37,5.41,26.55,20.29,40.07,75.86
16480,16.16,43.61,18.42,42.86,38.77,32.38,58.44
20897,1.14,12.66,2.41,11.76,8.67,48.89,88.37
13550,3.33,29.89,10.0,31.37,26.69,38.26,74.0
16383,2.18,22.38,6.13,24.24,19.04,38.5,77.11
13050,2.89,30.88,9.3,31.03,24.94,34.19,71.11
26007,1.97,34.57,7.14,34.88,23.53,31.58,65.12
16469,1.26,18.75,3.7,20.0,14.31,39.94,80.36
3830,10.0,37.5,16.09,38.2,34.01,33.33,66.67
